,room1_value_on,room1_value_off,room3_value_on,room3_value_off,room5_value_on,room5_value_off,room1_on/off,room3_on/off,room5_on/off
1789,0.34635859727859497,0.0,0.3468831479549408,0.0,-0.032631002366542816,0.0,1.0,1.0,1.0
1790,0.3526676297187805,0.0,0.35102206468582153,0.0,-0.029203863814473152,0.0,1.0,1.0,1.0
1791,0.3583049178123474,0.0,0.35448700189590454,0.0,-0.021664898842573166,0.0,1.0,1.0,1.0
1792,0.36209699511528015,0.0,0.3564732074737549,0.0,-0.014016406610608101,0.0,1.0,1.0,1.0
1793,0.35946887731552124,0.0,0.35439637303352356,0.0,-0.020474502816796303,0.0,1.0,1.0,1.0
1794,0.35593482851982117,0.0,0.3510717749595642,0.0,-0.02730475924909115,0.0,1.0,1.0,1.0
1795,0.3505170941352844,0.0,0.34640130400657654,0.0,-0.03493651747703552,0.0,1.0,1.0,1.0
1796,0.209710955619812,0.0,0.20495282113552094,0.0,0.33762872219085693,0.0,1.0,1.0,1.0
1797,0.14087045192718506,0.0,0.13111908733844757,0.0,0.3643288016319275,0.0,1.0,1.0,1.0
1798,0.14088597893714905,0.0,0.1247500628232956,0.0,0.3648832440376282,0.0,1.0,1.0,1.0
1799,0.14860275387763977,0.0,0.20718812942504883,0.0,0.3648967742919922,0.0,1.0,1.0,1.0
1800,0.14716821908950806,0.0,0.1989443153142929,0.0,0.3624160885810852,0.0,1.0,1.0,1.0
1801,0.14573700726032257,0.0,0.19354286789894104,0.0,0.36281096935272217,0.0,1.0,1.0,1.0
1802,0.14462971687316895,0.0,0.18720538914203644,0.0,0.36517655849456787,0.0,1.0,1.0,1.0
1803,0.14339570701122284,0.0,0.18279141187667847,0.0,0.36453792452812195,0.0,1.0,1.0,1.0
1804,0.14262373745441437,0.0,0.17973363399505615,0.0,0.3631487190723419,0.0,1.0,1.0,1.0
1805,0.14242053031921387,0.0,0.17723944783210754,0.0,0.3628493547439575,0.0,1.0,1.0,1.0
1806,0.14360249042510986,0.0,0.17872658371925354,0.0,0.3619678020477295,0.0,1.0,1.0,1.0
1807,0.3133538067340851,0.0,0.29528534412384033,0.0,0.017521152272820473,0.0,1.0,1.0,1.0
1808,0.331868052482605,0.0,0.3208458721637726,0.0,-0.03954214230179787,0.0,1.0,1.0,1.0
1809,0.33432134985923767,0.0,0.323282927274704,0.0,-0.03449535369873047,0.0,1.0,1.0,1.0
1810,0.33687129616737366,0.0,0.32804834842681885,0.0,-0.04229295253753662,0.0,1.0,1.0,1.0
1811,0.3396022319793701,0.0,0.3322799801826477,0.0,-0.05015299469232559,0.0,1.0,1.0,1.0
1812,0.3421357572078705,0.0,0.3362421989440918,0.0,-0.05784396827220917,0.0,1.0,1.0,1.0
1813,0.34473904967308044,0.0,0.3400516211986542,0.0,-0.06133178249001503,0.0,1.0,1.0,1.0
1814,0.3548692464828491,0.0,0.34722399711608887,0.0,-0.05346444249153137,0.0,1.0,1.0,1.0
