,action1,action3,action5
321,25.5,26.0,26.0
322,25.5,26.0,26.0
323,25.5,26.0,26.0
324,25.5,25.5,25.5
325,25.5,25.5,25.5
326,25.5,25.5,26.5
327,27.0,26.0,26.5
328,27.0,26.0,26.5
329,27.0,26.0,26.5
330,27.0,26.0,26.5
331,27.0,26.0,26.5
332,25.5,25.5,25.0
333,25.5,25.5,25.0
334,25.5,25.5,25.0
335,24.5,25.5,26.0
336,24.5,25.5,26.0
337,24.5,25.5,26.0
338,24.5,25.5,26.0
339,24.5,25.5,26.0
340,24.5,25.5,26.0
341,24.5,25.5,26.0
342,24.5,25.5,26.0
343,24.5,25.5,26.0
344,24.5,25.5,26.0
345,24.5,25.5,26.0
346,25.0,25.5,25.5
347,25.0,25.5,25.5
348,25.0,25.5,25.5
349,25.0,25.5,25.5
350,25.0,25.5,25.5
351,25.0,25.5,25.5
352,25.0,25.5,25.5
353,25.5,25.5,26.0
354,25.5,25.5,26.0
355,25.5,25.5,26.0
356,25.5,25.5,26.0
357,25.5,25.0,24.5
358,25.5,27.0,25.5
359,25.5,27.0,25.5
360,25.5,27.0,25.5
361,25.5,27.0,25.5
362,25.5,27.0,25.5
363,25.5,27.0,25.5
364,25.5,27.0,25.5
365,25.5,27.0,25.5
366,25.5,27.0,25.5
367,25.5,27.0,25.5
368,25.5,27.0,25.5
369,25.5,27.0,25.5
370,25.5,25.5,25.5
371,26.5,26.0,26.0
372,26.5,26.0,26.0
373,26.5,26.0,26.0
374,26.5,26.0,26.0
375,26.5,26.0,26.0
376,26.5,26.0,26.0
377,26.5,26.0,26.0
378,25.5,26.5,26.5
379,25.5,26.5,26.5
380,25.5,26.5,26.5
381,25.5,26.5,26.5
382,25.5,26.5,26.5
383,25.5,26.5,26.5
384,25.5,26.5,26.5
385,25.5,26.5,26.5
386,25.5,26.5,26.5
387,25.5,26.5,26.5
388,25.5,26.5,26.5
389,25.5,26.5,26.5
390,25.5,25.5,25.5
391,25.5,25.5,25.5
392,25.5,25.5,25.5
393,25.5,25.5,25.5
394,25.5,25.5,25.5
395,25.5,25.5,25.5
396,25.5,25.5,25.5
397,25.5,25.5,25.5
398,25.5,25.5,25.5
399,25.5,25.5,25.5
400,25.5,26.5,25.5
401,25.5,26.5,25.5
402,25.5,25.0,25.0
403,25.5,25.0,25.0
404,25.5,25.0,25.0
405,25.5,25.0,25.0
406,25.5,25.0,25.0
407,25.5,26.5,25.5
408,25.5,26.5,25.5
409,25.5,26.5,25.5
410,25.0,26.0,25.5
411,25.0,26.0,25.5
412,25.0,26.0,25.5
413,25.0,26.0,25.5
414,25.0,26.0,25.5
415,25.0,26.0,25.5
416,25.0,26.0,25.5
417,25.0,26.0,25.5
418,25.0,26.0,25.5
419,25.0,26.0,25.5
420,25.0,26.0,25.5
421,25.0,26.0,25.5
422,25.0,26.0,25.5
423,25.0,26.0,25.5
424,25.0,26.0,25.5
425,25.0,26.0,25.5
426,25.0,26.0,25.5
427,25.0,26.0,25.5
428,25.0,26.0,25.5
429,25.0,26.0,25.5
430,25.0,26.0,25.5
431,25.0,26.0,25.5
432,25.0,26.0,25.5
433,25.0,26.0,25.5
434,25.0,26.0,25.5
435,25.5,25.5,25.5
436,25.5,25.5,25.5
437,25.5,25.5,25.5
438,25.5,25.5,25.5
439,25.5,25.5,25.5
440,25.5,25.5,25.5
441,25.5,25.5,25.5
442,25.5,25.5,25.5
443,25.5,25.5,25.5
444,27.0,26.0,26.5
445,27.0,26.0,26.5
446,27.0,26.0,26.5
447,27.0,26.0,26.5
448,27.0,26.0,26.5
449,27.0,26.0,26.5
450,27.0,26.0,26.5
451,27.0,26.0,26.5
452,27.0,26.0,26.5
453,27.0,26.0,26.5
454,27.0,26.0,26.5
455,27.0,26.0,26.5
456,27.0,26.0,26.5
457,27.0,26.0,26.5
458,27.0,26.0,26.5
459,25.5,26.0,25.5
460,25.5,26.0,25.5
461,25.5,26.0,25.5
462,25.5,26.0,25.5
463,25.5,26.0,25.5
464,25.5,26.0,25.5
465,25.5,26.0,25.5
466,25.5,26.0,25.5
467,25.5,26.0,25.5
468,25.5,26.0,25.5
469,25.5,26.0,25.5
470,25.5,26.0,25.5
471,25.5,26.0,25.5
472,25.5,26.0,25.5
473,25.5,26.0,25.5
474,25.5,26.0,25.0
475,25.5,26.0,25.0
476,25.5,26.0,25.0
477,25.5,26.0,25.0
478,25.5,26.0,25.0
479,25.5,26.0,25.0
480,25.5,26.0,25.0
481,25.5,26.0,25.0
482,25.5,26.0,25.0
483,25.5,26.0,25.0
484,25.5,26.0,25.0
485,25.5,26.0,25.0
486,25.5,26.0,25.0
487,26.0,25.5,26.0
488,26.0,25.5,26.0
489,26.0,25.5,26.0
490,26.0,25.5,26.0
491,26.0,25.5,26.0
492,26.0,25.5,26.0
493,26.0,25.5,26.0
494,26.0,25.5,26.0
495,26.0,25.5,26.0
496,26.0,25.5,26.0
497,26.0,25.5,26.0
498,26.0,25.5,26.0
499,26.0,25.5,26.0
500,25.5,25.5,25.0
501,25.5,25.5,25.0
502,24.5,25.0,25.5
503,24.5,25.0,25.5
504,24.5,25.0,25.5
505,24.5,25.0,25.5
506,24.5,25.0,25.5
507,24.5,25.0,25.5
508,24.5,25.0,25.5
509,24.5,25.0,25.5
510,24.5,25.0,25.5
511,24.5,25.0,25.5
512,25.0,26.0,25.5
513,25.0,26.0,25.5
514,25.0,26.0,25.5
515,25.0,26.0,25.5
516,25.0,26.0,25.5
517,25.0,26.0,25.5
518,25.0,26.0,25.5
519,25.0,26.0,25.5
520,25.0,26.0,25.5
521,25.0,26.0,25.5
522,25.0,26.0,25.5
523,27.0,25.5,25.5
524,27.0,25.5,25.5
525,27.0,25.5,25.5
526,27.0,25.5,25.5
527,27.0,25.5,25.5
528,27.0,25.5,25.5
529,27.0,25.5,25.5
530,27.0,25.5,25.5
531,27.0,25.5,25.5
532,27.0,25.5,25.5
533,26.0,25.5,25.5
534,26.0,25.5,25.5
535,26.0,25.5,25.5
536,26.0,25.5,25.5
537,26.0,25.5,25.5
538,26.0,25.5,25.5
539,25.5,26.0,26.0
540,26.0,25.5,26.0
541,26.0,25.5,26.0
542,26.0,25.5,26.0
543,25.5,25.5,25.0
544,25.5,25.5,25.0
545,25.5,25.5,25.0
546,25.5,25.5,25.0
547,25.5,25.5,25.0
548,25.5,25.5,25.0
549,25.5,25.5,25.0
550,25.5,25.5,25.0
551,25.5,25.5,25.0
552,25.5,25.5,25.0
553,25.5,25.5,25.0
554,25.5,25.5,25.0
555,26.0,26.0,25.5
