,action1,action2,action3
314,25.5,26.0,26.5
315,25.5,26.0,25.5
316,25.5,26.5,25.5
317,26.0,24.5,25.0
318,24.0,25.5,26.0
319,25.0,25.0,25.0
320,26.0,25.5,25.0
321,24.5,25.5,24.5
322,26.5,24.5,24.5
323,26.0,25.5,25.5
324,26.0,26.0,26.0
325,25.5,26.5,24.5
326,24.0,24.0,24.0
327,26.5,24.0,24.0
328,25.0,24.5,25.5
329,24.5,24.0,26.0
330,26.5,25.5,24.5
331,26.5,24.5,26.0
332,25.5,26.5,24.5
333,26.5,26.0,26.5
334,26.0,26.5,25.0
335,25.0,25.5,24.5
336,26.5,25.0,25.5
337,26.0,26.5,24.5
338,25.5,26.0,24.0
339,26.5,24.0,25.0
340,26.5,24.5,24.0
341,24.0,25.0,24.0
342,24.5,24.0,26.0
343,26.5,24.5,26.0
344,26.5,26.0,24.0
345,26.0,24.5,24.0
346,26.5,26.0,25.0
347,26.0,24.0,25.5
348,25.0,24.0,24.5
349,25.5,24.5,25.0
350,25.0,26.0,25.5
351,25.5,26.5,26.0
352,25.0,26.5,26.5
353,24.5,26.5,25.0
354,26.5,26.0,24.0
355,24.0,25.5,24.0
356,25.0,24.0,25.0
357,26.0,25.0,24.5
358,26.5,25.5,26.0
359,26.0,25.0,25.0
360,26.0,25.5,24.5
361,26.5,26.0,26.5
362,24.5,24.5,25.5
363,24.0,24.5,26.5
364,24.0,26.0,26.5
365,25.0,25.5,24.5
366,26.5,24.0,24.0
367,25.0,24.5,26.5
368,26.5,26.0,25.5
369,26.5,24.5,26.0
370,26.5,25.0,24.5
371,26.0,24.5,25.5
372,25.5,24.0,24.0
373,25.0,25.0,25.0
374,26.5,24.0,25.0
375,24.5,26.0,25.5
376,24.5,26.5,26.5
377,24.5,25.5,26.0
378,26.5,26.5,24.5
379,26.5,26.5,26.5
380,24.0,26.5,26.0
381,26.0,26.0,24.5
382,25.0,24.5,26.5
383,25.0,26.5,24.5
384,24.5,26.0,25.5
385,25.5,25.5,25.5
386,24.0,26.0,24.5
387,25.5,24.0,26.0
388,24.5,26.5,24.5
389,26.0,25.5,24.5
390,26.5,24.0,25.5
391,24.5,26.0,26.0
392,25.0,26.0,24.5
393,25.5,25.0,26.5
394,24.0,25.5,24.5
395,25.5,24.0,26.0
396,24.0,25.5,25.5
397,26.5,26.5,26.5
398,26.5,25.5,25.0
399,25.0,26.5,26.0
400,24.5,26.5,26.0
401,24.5,26.5,24.5
402,25.0,25.5,25.5
403,26.0,26.0,25.0
404,24.5,25.5,26.5
405,25.0,25.0,26.5
406,25.5,25.5,26.0
407,26.0,25.5,24.0
408,24.5,26.0,25.0
409,25.0,25.5,25.5
410,24.5,26.5,26.5
411,24.0,26.0,24.5
412,24.5,24.0,24.5
413,24.0,26.0,26.0
414,24.5,25.5,26.0
415,26.0,24.5,25.5
416,26.0,26.0,26.0
417,25.0,26.0,25.0
418,26.0,24.5,26.5
419,26.5,26.5,25.5
420,25.5,24.5,24.0
421,24.5,24.5,25.0
422,25.0,24.5,24.0
423,26.5,26.5,25.0
424,24.0,24.5,25.0
425,24.5,26.5,25.5
426,25.0,26.0,25.0
427,26.0,24.0,24.5
428,25.5,26.5,24.5
429,24.5,25.5,24.5
430,24.5,26.0,26.5
431,25.0,25.5,25.0
432,25.0,25.5,26.5
433,25.0,24.5,24.5
434,24.5,24.5,25.5
435,25.0,24.0,24.0
436,24.0,25.0,24.5
437,26.0,24.5,25.5
438,25.5,25.5,25.0
439,24.0,26.5,25.0
440,25.5,25.0,24.5
441,26.0,26.0,25.0
442,26.5,24.0,25.0
443,26.0,25.0,24.5
444,26.5,26.5,25.0
445,24.0,24.0,25.0
446,26.0,24.0,24.0
447,25.0,25.0,25.0
448,25.0,24.5,24.0
449,26.5,26.5,24.5
450,26.5,26.5,26.5
451,26.5,26.5,26.5
452,26.5,25.0,26.5
453,25.5,25.0,26.5
454,26.5,26.5,24.0
455,26.5,26.0,24.5
456,24.0,24.5,26.0
457,25.0,25.5,26.5
458,26.5,25.5,24.5
459,26.5,25.0,25.5
460,25.0,26.0,25.0
461,26.5,24.5,26.5
462,26.0,26.5,25.5
463,26.0,26.0,26.0
464,25.0,25.0,25.5
465,24.5,24.5,24.5
466,26.0,25.5,24.5
467,26.5,25.5,24.0
468,24.5,25.5,24.0
469,26.0,26.5,24.5
470,25.0,26.0,24.5
471,25.0,26.0,24.5
472,26.0,25.0,24.5
473,26.5,25.5,26.5
474,26.5,26.0,26.0
475,25.0,26.0,25.0
476,24.0,25.5,24.0
477,24.5,26.5,24.5
478,24.5,24.0,26.5
479,26.0,26.5,24.5
480,24.0,25.0,24.0
481,25.0,26.5,26.5
482,24.5,25.5,24.5
483,25.0,25.5,25.5
484,25.5,25.0,24.0
485,26.5,26.0,24.0
486,24.5,24.5,26.5
487,24.0,24.5,26.5
488,26.5,25.5,24.5
489,25.0,26.0,24.5
490,24.0,26.5,26.0
491,24.5,26.0,24.5
492,25.0,24.0,26.5
493,24.5,26.5,24.0
494,24.0,25.0,26.5
495,26.5,26.5,26.5
496,26.5,25.0,25.5
497,24.0,26.0,24.5
498,26.0,25.0,25.0
499,25.0,24.0,24.0
500,26.0,26.0,26.5
501,26.5,26.0,25.5
502,26.0,26.5,25.0
503,25.0,24.0,26.0
504,26.5,25.0,26.0
505,26.0,26.5,24.0
506,24.5,26.0,26.0
507,26.5,25.0,25.5
508,25.0,25.5,25.5
509,24.0,25.0,24.5
510,24.0,24.0,25.5
511,25.0,24.0,25.5
512,24.0,26.0,25.5
513,26.5,25.0,26.5
514,24.5,26.5,24.5
515,26.0,26.0,26.0
516,25.5,26.0,24.0
517,25.5,25.5,25.0
518,25.0,26.0,26.5
519,25.0,24.0,24.0
520,26.5,25.5,25.5
521,26.5,26.5,26.0
522,25.5,25.5,26.0
523,26.5,25.5,24.5
524,26.0,26.5,25.0
525,24.5,24.5,26.5
526,25.0,25.5,25.0
527,26.5,25.5,24.5
528,25.5,24.5,24.0
529,24.5,25.5,24.5
530,26.0,24.0,25.5
531,26.5,25.5,25.0
532,25.0,25.5,26.0
533,24.5,25.5,24.5
534,26.0,24.0,24.0
535,25.0,26.0,26.5
536,25.0,24.0,26.5
537,25.0,25.0,26.0
538,25.5,25.0,24.0
539,24.5,25.0,26.5
540,25.0,25.0,26.0
541,25.0,26.5,26.5
542,26.0,26.5,26.0
543,24.0,26.5,24.0
544,25.5,25.0,24.0
545,24.0,24.0,26.5
546,25.0,26.0,25.0
547,25.5,26.0,26.0
548,25.0,26.0,26.5
549,26.5,26.5,26.5
550,26.5,25.0,26.0
551,25.0,24.5,25.0
552,26.0,24.5,25.5
553,25.5,26.0,25.0
554,24.0,25.5,24.0
555,24.0,24.5,25.0
556,26.0,25.5,26.5
557,24.0,24.0,24.5
558,24.5,26.0,26.0
559,25.5,24.5,25.5
560,25.5,26.5,26.0
561,26.5,26.0,26.0
562,26.5,25.0,25.0
563,26.0,26.5,26.5
564,24.0,24.5,25.0
565,26.5,26.0,26.0
566,24.5,25.5,25.0
567,26.5,26.5,26.5
568,25.0,26.5,24.5
569,25.5,25.0,26.0
570,24.0,24.5,26.0
571,24.0,26.0,24.5
572,26.0,24.0,25.5
573,25.0,25.5,26.5
574,26.0,24.5,26.5
575,25.0,26.5,24.5
576,25.5,25.5,24.0
577,24.5,26.5,26.0
578,24.5,26.0,24.5
579,24.0,25.0,25.5
580,25.0,25.5,25.5
581,25.5,25.0,26.0
582,24.0,25.0,24.5
583,25.5,26.0,26.0
584,25.0,26.5,24.0
585,25.5,26.5,25.0
586,26.5,24.0,24.0
587,25.0,24.0,24.0
588,26.5,25.0,24.5
589,24.0,25.5,25.5
590,26.0,26.5,25.0
591,25.5,26.5,25.0
592,26.5,26.0,24.5
593,25.0,26.0,25.0
594,25.0,25.0,26.5
595,26.0,26.0,24.5
596,24.5,26.0,25.5
597,26.0,25.5,24.5
598,24.0,26.0,24.5
599,26.5,25.5,24.0
600,26.0,26.5,24.0
601,24.0,24.5,24.0
602,25.0,26.5,25.0
603,26.0,25.0,26.0
604,26.0,26.5,25.5
605,26.5,25.0,25.5
606,24.0,26.5,25.5
607,26.5,24.5,26.0
608,25.0,25.0,26.0
609,25.0,24.5,24.5
610,25.5,25.5,26.5
611,26.5,26.5,24.5
612,24.0,25.0,25.5
613,26.0,24.5,26.0
614,25.5,25.5,25.5
615,26.0,26.0,26.0
616,25.0,25.0,24.0
617,25.5,25.0,26.0
618,25.0,25.5,24.0
619,25.0,26.5,25.5
620,25.5,26.0,25.0
621,26.0,25.0,26.5
622,24.5,26.5,24.5
623,26.5,24.5,24.0
624,25.0,26.0,25.5
625,26.0,24.0,26.5
626,26.0,24.5,24.5
627,24.0,25.0,26.5
628,26.5,24.0,26.5
629,26.5,24.5,26.5
630,25.0,26.5,26.5
631,24.5,24.5,25.0
632,24.5,26.0,26.5
633,26.0,26.0,25.0
634,25.5,24.0,25.5
635,26.0,24.5,25.0
636,24.5,26.0,26.5
637,26.5,24.0,25.0
638,25.0,25.0,24.0
639,26.5,26.5,26.5
640,24.0,25.5,24.0
641,25.5,24.5,26.5
642,24.0,24.5,25.5
643,26.0,25.5,26.0
644,26.5,26.5,26.0
645,26.5,24.5,25.5
646,24.5,25.5,26.5
647,25.0,25.5,24.5
648,26.5,26.0,25.0
649,25.5,25.5,26.0
650,26.0,25.5,24.0
651,26.0,26.5,25.5
