1,2,3,4,5,6,7,8,9,10,11
1,8,180,0,7.6,266,159.6,159.6,159.6,159.6,80
1,8,181,0,8.6,265,159,159,159,159,77
1,8,182,0,9.7,557.81,192.281,559.7884221,371.871253,192.281,75
1,8,183,0,10.5,446.23,148.123,498.7208723,441.4920587,148.123,75
1,8,184,0,10.3,107,64.2,64.2,64.2,64.2,77
1,8,185,0,9.7,38,22.8,22.8,22.8,22.8,79
1,8,186,0,8.9,0,0,0,0,0,83
1,8,187,0,8.1,0,0,0,0,0,86
1,8,188,0,7.4,0,0,0,0,0,89
1,8,189,0,6.9,0,0,0,0,0,91
1,8,190,0,6.6,0,0,0,0,0,92
1,8,191,0,6.5,0,0,0,0,0,93
1,9,192,0,6.3,0,0,0,0,0,94
1,9,193,0,6.2,0,0,0,0,0,95
1,9,194,0,6,0,0,0,0,0,96
1,9,195,0,5.7,0,0,0,0,0,96
1,9,196,0,5.2,0,0,0,0,0,98
1,9,197,0,4.8,0,0,0,0,0,100
1,9,198,0,4.5,0,0,0,0,0,101
1,9,199,0,4.4,0,0,0,0,0,101
1,9,200,0,4.6,46.04,89.69791568,61.97392644,22.104,22.104,101
1,9,201,0,5.4,71,42.6,42.6,42.6,42.6,97
1,9,202,0,6.7,215.07,171.351776,187.5841591,98.007,98.007,92
1,9,203,0,8.1,285.06,179.7635258,237.225538,128.506,128.506,86
1,9,204,0,9.6,325.49,163.2181974,267.1611166,145.049,145.049,80
1,9,205,0,10.9,169,101.4,101.4,101.4,101.4,75
1,9,206,0,11.7,296.24,128.624,254.7714782,190.4469143,128.624,72
1,9,207,0,11.9,232.32,98.232,218.2013541,198.9336325,98.232,71
1,9,208,0,11.8,157.24,61.224,187.2743678,217.3222965,61.224,72
1,9,209,0,11.6,32,19.2,19.2,19.2,19.2,75
1,9,210,0,11.2,0,0,0,0,0,78
1,9,211,0,10.9,0,0,0,0,0,82
1,9,212,0,10.5,0,0,0,0,0,86
1,9,213,0,10.2,0,0,0,0,0,89
1,9,214,0,10,0,0,0,0,0,91
1,9,215,0,9.8,0,0,0,0,0,93
1,10,216,0,9.6,0,0,0,0,0,95
1,10,217,0,9.4,0,0,0,0,0,96
1,10,218,0,9.3,0,0,0,0,0,97
1,10,219,0,9.2,0,0,0,0,0,98
1,10,220,0,9,0,0,0,0,0,99
1,10,221,0,9,0,0,0,0,0,100
1,10,222,0,9,0,0,0,0,0,100
1,10,223,0,9.2,0,0,0,0,0,101
1,10,224,0,9.5,20,12,12,12,12,100
1,10,225,0,10,52,31.2,31.2,31.2,31.2,99
1,10,226,0,10.4,85,51,51,51,51,98
1,10,227,0,10.6,111,66.6,66.6,66.6,66.6,96
1,10,228,0,10.4,125,75,75,75,75,95
1,10,229,0,9.9,124,74.4,74.4,74.4,74.4,93
1,10,230,0,9.3,110,66,66,66,66,92
1,10,231,0,8.9,83,49.8,49.8,49.8,49.8,91
1,10,232,0,8.7,51,30.6,30.6,30.6,30.6,91
1,10,233,0,8.6,18,10.8,10.8,10.8,10.8,92
1,10,234,0,8.7,0,0,0,0,0,92
1,10,235,0,8.9,0,0,0,0,0,92
1,10,236,0,9.1,0,0,0,0,0,93
1,10,237,0,9.4,0,0,0,0,0,94
1,10,238,0,9.6,0,0,0,0,0,94
1,10,239,0,9.6,0,0,0,0,0,94
1,11,240,0,9.4,0,0,0,0,0,94
1,11,241,0,9.2,0,0,0,0,0,94
1,11,242,0,9.1,0,0,0,0,0,94
1,11,243,0,9.1,0,0,0,0,0,94
1,11,244,0,9.1,0,0,0,0,0,93
1,11,245,0,9.1,0,0,0,0,0,93
1,11,246,0,9,0,0,0,0,0,92
1,11,247,0,8.9,0,0,0,0,0,91
1,11,248,0,8.7,11,6.6,6.6,6.6,6.6,90
1,11,249,0,8.5,28,16.8,16.8,16.8,16.8,89
1,11,250,0,8.2,45,27,27,27,27,88
1,11,251,0,7.9,59,35.4,35.4,35.4,35.4,87
1,11,252,0,7.7,67,40.2,40.2,40.2,40.2,87
1,11,253,0,7.6,67,40.2,40.2,40.2,40.2,87
1,11,254,0,7.5,59,35.4,35.4,35.4,35.4,87
1,11,255,0,7.3,45,27,27,27,27,88
1,11,256,0,6.8,27,16.2,16.2,16.2,16.2,89
1,11,257,0,6.2,10,6,6,6,6,91
1,11,258,0,5.7,0,0,0,0,0,93
1,11,259,0,5.5,0,0,0,0,0,95
1,11,260,0,5.7,0,0,0,0,0,96
1,11,261,0,5.8,0,0,0,0,0,97
1,11,262,0,5.7,0,0,0,0,0,98
1,11,263,0,5.5,0,0,0,0,0,98
1,12,264,0,5.2,0,0,0,0,0,99
1,12,265,0,4.9,0,0,0,0,0,99
1,12,266,0,4.7,0,0,0,0,0,98
1,12,267,0,4.6,0,0,0,0,0,98
1,12,268,0,4.5,0,0,0,0,0,97
1,12,269,0,4.5,0,0,0,0,0,97
1,12,270,0,4.5,0,0,0,0,0,96
1,12,271,0,4.5,0,0,0,0,0,96
1,12,272,0,4.5,4,2.4,2.4,2.4,2.4,96
1,12,273,0,4.4,10,6,6,6,6,96
1,12,274,0,4.3,15,9,9,9,9,97
1,12,275,0,4.2,20,12,12,12,12,97
1,12,276,0,4.1,23,13.8,13.8,13.8,13.8,98
1,12,277,0,4.2,23,13.8,13.8,13.8,13.8,98
1,12,278,0,4.5,20,12,12,12,12,98
1,12,279,0,5,15,9,9,9,9,98
1,12,280,0,5.6,9,5.4,5.4,5.4,5.4,97
1,12,281,0,5.8,3,1.8,1.8,1.8,1.8,96
1,12,282,0,5.7,0,0,0,0,0,95
1,12,283,0,5.5,0,0,0,0,0,94
1,12,284,0,5.2,0,0,0,0,0,93
1,12,285,0,5,0,0,0,0,0,92
1,12,286,0,5.1,0,0,0,0,0,92
1,12,287,0,5.2,0,0,0,0,0,92
1,13,288,0,5.4,0,0,0,0,0,92
1,13,289,0,5.5,0,0,0,0,0,92
1,13,290,0,5.6,0,0,0,0,0,93
1,13,291,0,5.6,0,0,0,0,0,94
1,13,292,0,5.4,0,0,0,0,0,96
1,13,293,0,5.3,0,0,0,0,0,96
1,13,294,0,5.2,0,0,0,0,0,97
1,13,295,0,5.2,0,0,0,0,0,97
1,13,296,0,5.3,49.76,93.42308257,64.16135086,23.976,23.976,95
1,13,297,0,5.6,136.16,145.8488647,130.1742754,63.116,63.116,92
1,13,298,0,6.1,119,71.4,71.4,71.4,71.4,88
1,13,299,0,6.7,298.65,187.9133537,246.4742581,134.365,134.365,83
1,13,300,0,7.3,340.66,170.5161053,277.3407578,151.566,151.566,79
1,13,301,0,8,345.27,152.027,283.4666763,174.1905359,152.027,74
1,13,302,0,8.6,153,91.8,91.8,91.8,91.8,71
1,13,303,0,9.1,243.27,102.827,225.431051,207.2106345,102.827,69
