0,1,2,3,4,5,6,7,8,9,10
1,4,92,0,7.6,0,0,0,0,0,88.5
1,4,93,0,7.4,0,0,0,0,0,89.1
1,4,94,0,7.31,0,0,0,0,0,89.1
1,4,95,0,7.29,0,0,0,0,0,88.4
1,5,96,0,7.3,0,0,0,0,0,87.8
1,5,97,0,7.28,0,0,0,0,0,86.8
1,5,98,0,7.2,0,0,0,0,0,85.8
1,5,99,0,7.02,0,0,0,0,0,85.1
1,5,100,0,6.79,0,0,0,0,0,84.8
1,5,101,0,6.55,0,0,0,0,0,84.4
1,5,102,0,6.37,0,0,0,0,0,84.3
1,5,103,0,6.3,0,0,0,0,0,84.1
1,5,104,0,6.4,4.24,2.44,2.44,2.44,2.44,83.8
1,5,105,0,6.58,30.8,17.71,17.71,17.71,17.71,83.4
1,5,106,0,6.79,59.59,34.26,34.26,34.26,34.26,82.9
1,5,107,0,7.03,85.17,48.97,48.97,48.97,48.97,82.3
1,5,108,0,7.3,102.39,58.87,58.87,58.87,58.87,81.5
1,5,109,0,7.59,107.67,61.91,61.91,61.91,61.91,80.7
1,5,110,0,7.9,99.92,57.45,57.45,57.45,57.45,79.9
1,5,111,0,8.22,80.75,46.43,46.43,46.43,46.43,78.9
1,5,112,0,8.51,54.12,31.12,31.12,31.12,31.12,78
1,5,113,0,8.72,25.34,14.57,14.57,14.57,14.57,77.3
1,5,114,0,8.8,0,0,0,0,0,76.9
1,5,115,0,8.61,0,0,0,0,0,77.1
1,5,116,0,8.2,0,0,0,0,0,77.8
1,5,117,0,7.8,0,0,0,0,0,79.3
1,5,118,0,7.45,0,0,0,0,0,81.3
1,5,119,0,7.16,0,0,0,0,0,83.6
1,6,120,0,6.92,0,0,0,0,0,85.9
1,6,121,0,6.73,0,0,0,0,0,88.3
1,6,122,0,6.6,0,0,0,0,0,90.5
1,6,123,0,6.52,0,0,0,0,0,92.4
1,6,124,0,6.49,0,0,0,0,0,93.6
1,6,125,0,6.49,0,0,0,0,0,94.1
1,6,126,0,6.49,0,0,0,0,0,93.6
1,6,127,0,6.5,0,0,0,0,0,92.2
1,6,128,0,7,10.11,5.81,5.81,5.81,5.81,89.6
1,6,129,0,7.71,222.28,406.61,317.03,80,80,85.6
1,6,130,0,8.4,138.68,79.74,79.74,79.74,79.74,81
